MS,Mh,Man,MMS,T,Cn,Ct,m (kg),Enedc (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW)
FR,RENAULT,RENAULT SAS,RENAULT,R,CAPTUR,M1,1253.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
FR,RENAULT,RENAULT SAS,RENAULT SAS,RFE,KADJAR,M1,1448.0,132.0,2647.0,1562.0,1562.0,PETROL,M,1197.0,96.0
FR,RENAULT,RENAULT SAS,RENAULT SAS,RFE,KADJAR,M1,1395.0,130.0,2647.0,1562.0,1562.0,PETROL,M,1197.0,96.0
FR,RENAULT,RENAULT SAS,RENAULT SAS,R,CLIO,M1,1165.0,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,55.0
FR,RENAULT,RENAULT SAS,RENAULT SAS,AG,ZOE,M1,1555.0,0.0,2588.0,1511.0,1511.0,ELECTRIC,E,,43.0
FR,RENAULT,RENAULT SAS,RENAULT SAS,RFB,MEGANE,M1,1393.0,103.0,2670.0,1596.0,1596.0,DIESEL,M,1598.0,96.0
FR,RENAULT,RENAULT SAS,RENAULT SAS,RFB,MEGANE,M1,1394.0,124.0,2712.0,1596.0,1596.0,PETROL,M,1197.0,97.0
FR,RENAULT,RENAULT SAS,RENAULT,JL,TRAFIC,M1,1923.0,145.0,3498.0,1615.0,1615.0,DIESEL,M,1598.0,92.0
FR,RENAULT,RENAULT SAS,RENAULT SAS,RFA,SCENIC,M1,1505.0,129.0,2734.0,1602.0,1602.0,PETROL,M,1197.0,97.0
FR,RENAULT,RENAULT SAS,RENAULT SAS,RFA,SCENIC,M1,1505.0,100.0,2734.0,1602.0,1602.0,DIESEL,M,1461.0,81.0
FR,RENAULT,RENAULT SAS,RENAULT SAS,RFA,SCENIC,M1,1735.0,122.0,2804.0,1602.0,1602.0,DIESEL,M,1598.0,118.0
BE,RENAULT,RENAULT SAS,RENAULT,RFB,MEGANE,M1,1467.0,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
DK,VOLVO,VOLVO CAR CORPORATION,VOLVO,P,S90,M1,1717.0,116.0,2941.0,1628.0,1629.0,Diesel,M,1969.0,140.0
DK,VOLVO,VOLVO CAR CORPORATION,VOLVO,P,S90,M1,1712.0,149.0,2941.0,1617.0,1618.0,Petrol,M,1969.0,187.0
DK,VOLVO,VOLVO CAR CORPORATION,VOLVO,P,S90,M1,1799.0,165.0,2941.0,1617.0,1618.0,Petrol,M,1969.0,235.0
DK,VOLVO,VOLVO CAR CORPORATION,VOLVO,P,V90,M1,1731.0,154.0,2941.0,1617.0,1618.0,Petrol,M,1969.0,187.0
DK,VOLVO,VOLVO CAR CORPORATION,VOLVO,P,V90,M1,1817.0,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
DK,VOLVO,VOLVO CAR CORPORATION,VOLVO,P,V90,M1,1733.0,119.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,140.0
DK,VOLVO,VOLVO CAR CORPORATION,VOLVO,P,V90,M1,1825.0,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
DK,VOLVO,VOLVO CAR CORPORATION,VOLVO,P,V90,M1,1825.0,129.0,2941.0,1628.0,1629.0,Diesel,M,1969.0,173.0
DK,VOLVO,VOLVO CAR CORPORATION,VOLVO,M,V40,M1,1486.0,109.0,2647.0,1546.0,1533.0,Diesel,M,1969.0,140.0
DK,VOLVO,VOLVO CAR CORPORATION,VOLVO,M,V40 Cross Country,M1,1448.0,99.0,2646.0,1552.0,1540.0,Diesel,M,1969.0,88.0
DK,VOLVO,VOLVO CAR CORPORATION,VOLVO,M,V40,M1,1437.0,101.0,2647.0,1546.0,1533.0,Diesel,M,1969.0,110.0
DK,VOLVO,VOLVO CAR CORPORATION,VOLVO,M,V40,M1,1453.0,104.0,2647.0,1551.0,1538.0,Diesel,M,1969.0,110.0
DK,VOLVO,VOLVO CAR CORPORATION,VOLVO,M,V40,M1,1453.0,104.0,2647.0,1546.0,1533.0,Diesel,M,1969.0,110.0
DK,VOLVO,VOLVO CAR CORPORATION,VOLVO,M,V40,M1,1442.0,128.0,2647.0,1551.0,1538.0,Petrol,M,1969.0,140.0
DK,VOLVO,VOLVO CAR CORPORATION,VOLVO,M,V40,M1,1442.0,128.0,2647.0,1546.0,1533.0,Petrol,M,1969.0,140.0
DK,VOLVO,VOLVO CAR CORPORATION,VOLVO,M,V40,M1,1453.0,101.0,2647.0,1546.0,1533.0,Diesel,M,1969.0,88.0
DK,VOLVO,VOLVO CAR CORPORATION,VOLVO,M,V40,M1,1453.0,101.0,2647.0,1551.0,1538.0,Diesel,M,1969.0,88.0
DK,VOLVO,VOLVO CAR CORPORATION,VOLVO,M,V40,M1,1435.0,129.0,2647.0,1546.0,1533.0,Petrol,M,1498.0,112.0
DK,VOLVO,VOLVO CAR CORPORATION,VOLVO,M,V40,M1,1435.0,129.0,2647.0,1551.0,1538.0,Petrol,M,1498.0,112.0
DK,VOLVO,VOLVO CAR CORPORATION,VOLVO,M,V40,M1,1435.0,129.0,2647.0,1551.0,1538.0,Petrol,M,1498.0,90.0
DK,VOLVO,VOLVO CAR CORPORATION,VOLVO,M,V40,M1,1431.0,127.0,2647.0,1546.0,1533.0,Petrol,M,1969.0,90.0
DK,VOLVO,VOLVO CAR CORPORATION,VOLVO,M,V40,M1,1431.0,127.0,2647.0,1551.0,1538.0,Petrol,M,1969.0,90.0
NL,MITSUBISHI MOTORS THAILAND,MITSUBISHI MOTORS THAILAND CO LTD MMTH,MITSUBISHI MOTORS (THAILAND) CO LTD,A00,MITSUBISHI SPACE STAR,M1,920.0,92.0,2450.0,1430.0,1420.0,PETROL,M,999.0,52.0
NL,MITSUBISHI MOTORS CORPORATION,MITSUBISHI MOTORS CORPORATION MMC,MITSUBISHI MOTORS CORPORATION,GA0,MITSUBISHI ASX,M1,1335.0,132.0,2670.0,1550.0,1550.0,PETROL,M,1590.0,86.0
NL,MITSUBISHI MOTORS CORPORATION,MITSUBISHI MOTORS CORPORATION MMC,MITSUBISHI MOTORS CORPORATION,GA0,MITSUBISHI ASX,M1,1335.0,131.0,2670.0,1530.0,1530.0,PETROL,M,1590.0,86.0
NL,MITSUBISHI MOTORS CORPORATION,MITSUBISHI MOTORS CORPORATION MMC,MITSUBISHI MOTORS CORPORATION,CW0,MITSUBISHI OUTLANDER,M1,1675.0,139.0,2670.0,1540.0,1540.0,DIESEL,M,2268.0,110.0
NL,MITSUBISHI MOTORS CORPORATION,MITSUBISHI MOTORS CORPORATION MMC,MITSUBISHI MOTORS CORPORATION,GK0,MITSUBISHI ECLIPSE CROSS,M1,1500.0,151.0,2670.0,1550.0,1550.0,PETROL,M,1499.0,120.0
NL,MITSUBISHI MOTORS CORPORATION,MITSUBISHI MOTORS CORPORATION MMC,MITSUBISHI MOTORS CORPORATION,CW0,MITSUBISHI OUTLANDER,M1,1535.0,146.0,2670.0,1540.0,1540.0,PETROL,M,1998.0,110.0
NL,MITSUBISHI MOTORS CORPORATION,MITSUBISHI MOTORS CORPORATION MMC,MITSUBISHI MOTORS CORPORATION,CW0,MITSUBISHI OUTLANDER,M1,1505.0,139.0,2670.0,1540.0,1540.0,PETROL,M,1998.0,110.0
NL,MITSUBISHI MOTORS CORPORATION,MITSUBISHI MOTORS CORPORATION MMC,MITSUBISHI MOTORS CORPORATION,GK0,MITSUBISHI ECLIPSE CROSS,M1,1535.0,154.0,2670.0,1550.0,1550.0,PETROL,M,1499.0,120.0
PL,BMW AG,BAYERISCHE MOTOREN WERKE AG,,X6,X6 M50D,M1,2260.0,206.0,2468.0,1640.0,1706.0,DIESEL,M,2993.0,420.0
PL,GENERAL MOTORS HOLDINGS,GENERAL MOTORS HOLDINGS LLC ,,K2XX,ESCALADE,M1,2826.0,287.0,2619.0,1744.0,1746.0,PETROL,M,6162.0,313.0
PL,GENERAL MOTORS HOLDINGS,GENERAL MOTORS HOLDINGS LLC ,,K2XX,ESCALADE ESV,M1,2865.0,302.0,2619.0,1744.0,1746.0,PETROL,M,6162.0,470.0
PL,GENERAL MOTORS HOLDINGS,GENERAL MOTORS HOLDINGS LLC ,,A1XC,CAMARO,M1,1755.0,252.0,2600.0,1604.0,1604.0,PETROL,M,6162.0,500.0
PL,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,,0,C4 CACTUS,M1,1145.0,92.0,2220.0,1480.0,1480.0,DIESEL,M,1560.0,110.0
PL,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,,0,C4 CACTUS,M1,1145.0,90.0,2220.0,1480.0,1480.0,DIESEL,M,1560.0,110.0
