MS,Man,T,Cn,Ct,m (kg),Enedc (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW)
FR,RENAULT SAS,R,CAPTUR,M1,1253.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
FR,RENAULT SAS,RFE,KADJAR,M1,1448.0,132.0,2647.0,1562.0,1562.0,PETROL,M,1197.0,96.0
FR,RENAULT SAS,RFE,KADJAR,M1,1395.0,130.0,2647.0,1562.0,1562.0,PETROL,M,1197.0,96.0
FR,RENAULT SAS,R,CLIO,M1,1165.0,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,55.0
FR,RENAULT SAS,RFB,MEGANE,M1,1393.0,103.0,2670.0,1596.0,1596.0,DIESEL,M,1598.0,96.0
FR,RENAULT SAS,RFB,MEGANE,M1,1394.0,124.0,2712.0,1596.0,1596.0,PETROL,M,1197.0,97.0
FR,RENAULT SAS,JL,TRAFIC,M1,1923.0,145.0,3498.0,1615.0,1615.0,DIESEL,M,1598.0,92.0
FR,RENAULT SAS,RFA,SCENIC,M1,1505.0,129.0,2734.0,1602.0,1602.0,PETROL,M,1197.0,97.0
FR,RENAULT SAS,RFA,SCENIC,M1,1505.0,100.0,2734.0,1602.0,1602.0,DIESEL,M,1461.0,81.0
FR,RENAULT SAS,RFA,SCENIC,M1,1735.0,122.0,2804.0,1602.0,1602.0,DIESEL,M,1598.0,118.0
BE,RENAULT SAS,RFB,MEGANE,M1,1467.0,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
DK,VOLVO CAR CORPORATION,P,S90,M1,1717.0,116.0,2941.0,1628.0,1629.0,Diesel,M,1969.0,140.0
DK,VOLVO CAR CORPORATION,P,S90,M1,1712.0,149.0,2941.0,1617.0,1618.0,Petrol,M,1969.0,187.0
DK,VOLVO CAR CORPORATION,P,S90,M1,1799.0,165.0,2941.0,1617.0,1618.0,Petrol,M,1969.0,235.0
DK,VOLVO CAR CORPORATION,P,V90,M1,1731.0,154.0,2941.0,1617.0,1618.0,Petrol,M,1969.0,187.0
DK,VOLVO CAR CORPORATION,P,V90,M1,1817.0,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
DK,VOLVO CAR CORPORATION,P,V90,M1,1733.0,119.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,140.0
DK,VOLVO CAR CORPORATION,P,V90,M1,1825.0,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
DK,VOLVO CAR CORPORATION,P,V90,M1,1825.0,129.0,2941.0,1628.0,1629.0,Diesel,M,1969.0,173.0
DK,VOLVO CAR CORPORATION,M,V40,M1,1486.0,109.0,2647.0,1546.0,1533.0,Diesel,M,1969.0,140.0
DK,VOLVO CAR CORPORATION,M,V40 Cross Country,M1,1448.0,99.0,2646.0,1552.0,1540.0,Diesel,M,1969.0,88.0
DK,VOLVO CAR CORPORATION,M,V40,M1,1437.0,101.0,2647.0,1546.0,1533.0,Diesel,M,1969.0,110.0
DK,VOLVO CAR CORPORATION,M,V40,M1,1453.0,104.0,2647.0,1551.0,1538.0,Diesel,M,1969.0,110.0
DK,VOLVO CAR CORPORATION,M,V40,M1,1453.0,104.0,2647.0,1546.0,1533.0,Diesel,M,1969.0,110.0
DK,VOLVO CAR CORPORATION,M,V40,M1,1442.0,128.0,2647.0,1551.0,1538.0,Petrol,M,1969.0,140.0
DK,VOLVO CAR CORPORATION,M,V40,M1,1442.0,128.0,2647.0,1546.0,1533.0,Petrol,M,1969.0,140.0
DK,VOLVO CAR CORPORATION,M,V40,M1,1453.0,101.0,2647.0,1546.0,1533.0,Diesel,M,1969.0,88.0
DK,VOLVO CAR CORPORATION,M,V40,M1,1453.0,101.0,2647.0,1551.0,1538.0,Diesel,M,1969.0,88.0
DK,VOLVO CAR CORPORATION,M,V40,M1,1435.0,129.0,2647.0,1546.0,1533.0,Petrol,M,1498.0,112.0
DK,VOLVO CAR CORPORATION,M,V40,M1,1435.0,129.0,2647.0,1551.0,1538.0,Petrol,M,1498.0,112.0
DK,VOLVO CAR CORPORATION,M,V40,M1,1435.0,129.0,2647.0,1551.0,1538.0,Petrol,M,1498.0,90.0
DK,VOLVO CAR CORPORATION,M,V40,M1,1431.0,127.0,2647.0,1546.0,1533.0,Petrol,M,1969.0,90.0
DK,VOLVO CAR CORPORATION,M,V40,M1,1431.0,127.0,2647.0,1551.0,1538.0,Petrol,M,1969.0,90.0
NL,MITSUBISHI MOTORS THAILAND CO LTD MMTH,A00,MITSUBISHI SPACE STAR,M1,920.0,92.0,2450.0,1430.0,1420.0,PETROL,M,999.0,52.0
NL,MITSUBISHI MOTORS CORPORATION MMC,GA0,MITSUBISHI ASX,M1,1335.0,132.0,2670.0,1550.0,1550.0,PETROL,M,1590.0,86.0
NL,MITSUBISHI MOTORS CORPORATION MMC,GA0,MITSUBISHI ASX,M1,1335.0,131.0,2670.0,1530.0,1530.0,PETROL,M,1590.0,86.0
NL,MITSUBISHI MOTORS CORPORATION MMC,CW0,MITSUBISHI OUTLANDER,M1,1675.0,139.0,2670.0,1540.0,1540.0,DIESEL,M,2268.0,110.0
NL,MITSUBISHI MOTORS CORPORATION MMC,GK0,MITSUBISHI ECLIPSE CROSS,M1,1500.0,151.0,2670.0,1550.0,1550.0,PETROL,M,1499.0,120.0
NL,MITSUBISHI MOTORS CORPORATION MMC,CW0,MITSUBISHI OUTLANDER,M1,1535.0,146.0,2670.0,1540.0,1540.0,PETROL,M,1998.0,110.0
NL,MITSUBISHI MOTORS CORPORATION MMC,CW0,MITSUBISHI OUTLANDER,M1,1505.0,139.0,2670.0,1540.0,1540.0,PETROL,M,1998.0,110.0
NL,MITSUBISHI MOTORS CORPORATION MMC,GK0,MITSUBISHI ECLIPSE CROSS,M1,1535.0,154.0,2670.0,1550.0,1550.0,PETROL,M,1499.0,120.0
PL,AUTOMOBILES CITROEN,0,C4 CACTUS,M1,1145.0,92.0,2220.0,1480.0,1480.0,DIESEL,M,1560.0,110.0
PL,AUTOMOBILES CITROEN,0,C4 CACTUS,M1,1145.0,90.0,2220.0,1480.0,1480.0,DIESEL,M,1560.0,110.0
PL,AUTOMOBILES CITROEN,0,C4 CACTUS,M1,1143.0,95.0,2220.0,1480.0,1480.0,DIESEL,M,1560.0,110.0
PL,AUTOMOBILES CITROEN,0,C4 CACTUS,M1,1160.0,89.0,2220.0,1480.0,1480.0,DIESEL,M,1560.0,110.0
PL,AUTOMOBILES CITROEN,0,C4 CACTUS,M1,1050.0,107.0,2220.0,1480.0,1480.0,PETROL,M,1199.0,90.0
FR,AUTOMOBILES PEUGEOT,C,208,M1,1035.0,108.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,50.0
FR,AUTOMOBILES PEUGEOT,C,208,M1,1035.0,104.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,60.0
FR,AUTOMOBILES PEUGEOT,C,208,M1,1135.0,99.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,81.0
FR,AUTOMOBILES PEUGEOT,C,208,M1,1150.0,90.0,2538.0,1470.0,1470.0,Diesel,M,1560.0,55.0
BE,RENAULT SAS,RFB,MEGANE,M1,1505.0,134.0,2712.0,1574.0,1577.0,PETROL,M,1618.0,151.0
BE,RENAULT SAS,RFB,MEGANE,M1,1387.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,66.0
BE,RENAULT SAS,RFB,MEGANE,M1,1395.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
BE,RENAULT SAS,RFB,MEGANE,M1,1443.0,98.0,2712.0,1574.0,1577.0,DIESEL,M,1461.0,81.0
BE,RENAULT SAS,RFB,MEGANE,M1,1387.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
BE,RENAULT SAS,RFB,MEGANE,M1,1394.0,100.0,2712.0,1574.0,1577.0,DIESEL,M,1461.0,81.0
BE,RENAULT SAS,RFB,MEGANE,M1,1469.0,103.0,2712.0,1580.0,1583.0,DIESEL,M,1598.0,96.0
FR,AUTOMOBILES PEUGEOT,P,108,M1,940.0,99.0,2340.0,1430.0,1430.0,Petrol,M,1199.0,60.0
PL,HYUNDAI MOTOR MANUFACTURING CZECH SRO,TLE,TUCSON,M1,1479.0,147.0,2430.0,1620.0,1631.0,DIESEL,M,1591.0,146.0
NL,MITSUBISHI MOTORS CORPORATION MMC,CW0,MITSUBISHI OUTLANDER,M1,1685.0,154.0,2670.0,1540.0,1540.0,DIESEL,M,2268.0,110.0
NL,MITSUBISHI MOTORS CORPORATION MMC,CW0,MITSUBISHI OUTLANDER,M1,1505.0,144.0,2670.0,1540.0,1540.0,PETROL,M,1998.0,110.0
PT,BAYERISCHE MOTOREN WERKE AG,3C,418d,M1,1585.0,118.0,2810.0,1557.0,1605.0,DIESEL,M,1995.0,110.0
PT,BAYERISCHE MOTOREN WERKE AG,1C,218d,M1,1595.0,122.0,2690.0,1526.0,1558.0,DIESEL,M,1995.0,110.0
PT,BAYERISCHE MOTOREN WERKE AG,FML2,Cooper D,M1,1210.0,95.0,2495.0,1503.0,1503.0,DIESEL,M,1496.0,85.0
PT,BAYERISCHE MOTOREN WERKE AG,FML2,Cooper D,M1,1210.0,92.0,2495.0,1503.0,1503.0,DIESEL,M,1496.0,85.0
PT,BAYERISCHE MOTOREN WERKE AG,3C,420d,M1,1615.0,114.0,2810.0,1557.0,1605.0,DIESEL,M,1995.0,140.0
FR,AUTOMOBILES CITROEN,3,C4 PICASSO,M1,1355.0,115.0,2785.0,1587.0,1587.0,Petrol,M,1199.0,96.0
FR,AUTOMOBILES CITROEN,3,C4 PICASSO,M1,1355.0,116.0,2785.0,1587.0,1587.0,Petrol,M,1199.0,96.0
NL,MITSUBISHI MOTORS CORPORATION MMC,CW0,MITSUBISHI OUTLANDER,M1,1600.0,149.0,2670.0,1540.0,1540.0,PETROL,M,1998.0,110.0
FR,ADAM OPEL GMBH,J-A,MOKKA,M1,1394.0,140.0,2555.0,1541.0,1541.0,Petrol,M,1364.0,103.0
FR,ADAM OPEL GMBH,J-A,MOKKA,M1,1409.0,149.0,2555.0,1541.0,1541.0,Petrol,M,1364.0,103.0
FR,ADAM OPEL GMBH,J-A,MOKKA,M1,1445.0,152.0,2555.0,1541.0,1541.0,Petrol,M,1364.0,103.0
FR,SEAT SA,6J,IBIZA,M1,1089.0,116.0,2469.0,1465.0,1457.0,PETROL,M,1197.0,66.0
RO,SEAT SA,6J,IBIZA,M1,1089.0,116.0,2469.0,1465.0,1457.0,PETROL,M,1197.0,66.0
FR,RENAULT SAS,R,CAPTUR,M1,1275.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
FR,RENAULT SAS,RZG,KOLEOS,M1,1662.0,128.0,2705.0,1597.0,1597.0,DIESEL,M,1598.0,96.0
FR,RENAULT SAS,RZG,KOLEOS,M1,1735.0,146.0,2705.0,1597.0,1597.0,DIESEL,M,1995.0,130.0
